Unnamed: 0,TWEET,STOCK,DATE,LAST_PRICE,1_DAY_RETURN,2_DAY_RETURN,3_DAY_RETURN,7_DAY_RETURN,PX_VOLUME,VOLATILITY_10D,VOLATILITY_30D,LSTM_POLARITY,TEXTBLOB_POLARITY
63979,Check out New with tags Midnight Velvet ladies button front tunic top size 2X #MidnightVelvet https://t.co/NN4SBsjnG6 via @eBay,,,,,,,,,,,,
Nike,04/09/2018,79.6,0.03266331658291468,0.0326633165829146,0.0326633165829146,0.0374371859296482,18565837.0,20.517,20.153,-1.0,0.0,,
,Google,18/10/2018,1097.91,0.0270331812261477,0.0320335910958091,0.004126021258573,-0.0065305899390661,2307596.0,38.222,25.977,-1.0,0.0,
41101,@RealCandaceO @adidas @adidasUS @adidasUK So cops with shoot people wearing adidas?,,,,,,,,,,,,
,Boeing,18/10/2018,359.35,0.0171142340336718,0.0247669403088909,-0.001307917072492,-0.0034506748295533,3254902.0,33.301,26.615,1.0,0.35,
22053,RT @Reuters: See some of the most memorable pictures taken by @Reuters photographers around the world this year. https://t.co/oRujtjFKKh (W…,,,,,,,,,,,,
72600,"RT @tiffanyyoung: LA? I’m coming home to perform “Teach You” live for first time on 10/3 at @hmusa @hm in Hollywood, hope to see u 💕 🎤🥁🎙 #h…",H&M,24/09/2018,16.2,0.0,0.0,0.0,-0.0104938271604937,485.0,98.299,68.834,1.0,0.0
107108,RT @MrShaunNoodlez: Since Netflix canceled Luke Cage I have to bring back this NYC Gem. https://t.co/Mrbn9Ge1qg,,,,,,,,,,,,
19148,RT @Google: Take a 👀 at this! Our new AIY Vision Kit brings computer vision to your Raspberry Pi projects →… ,,,,,,,,,,,,
76890,@bristlefur @FredY1o1 @JRoseland @Google Why are you defending google censoring information ?,,,,,,,,,,,,
,Netflix,22/10/2018,329.54,0.0094980882442192,0.0094980882442192,0.0094980882442192,0.0108939734174909,17097175.0,79.116,52.925,1.0,0.0,
56972,African Woman Earrings | Ethnic Wooden Earrings Ngozi-Grace https://t.co/n8AXheJCNL via @amazon,,,,,,,,,,,,
12944,Check out Pair of African Carved Wooden Heads of Male and Female https://t.co/roezzN4lZr @eBay,,,,,,,,,,,,
Disney,17/09/2018,109.36,-0.000914411119239158,-0.0009144111192391,-0.0009144111192391,0.0120702267739576,5592864.0,12.786,11.306,1.0,0.5,,
98736,"RT @DalaiLama: A Healthy Mind for a Healthy Body - HHDL speaks about the importance of peace of mind at his residence in Dharamsala, HP, In…",HP,19/10/2018,23.84,-0.0029362416107382,0.001258389261745,0.0050335570469799,-0.0071308724832213,11827007.0,38.342,28.077,1.0,0.5
8236,RT @AgeraRaptor: #Ad I got a free 1-night @Redbox game rental from @TMobile. #GetThanked! https://t.co/AOMhqkEvfx Exclusive for T-Mobile cu…,,,,,,,,,,,,
Nike,04/09/2018,79.6,0.03266331658291468,0.0326633165829146,0.0326633165829146,0.0374371859296482,18565837.0,20.517,20.153,-1.0,0.0,,
77743,"RT @TheKeyStages: Who wants to #win a £25 @hm #voucher? 😁 Follow us, RT, Comment &amp; tell us in less than 10 words why you should win! Like &amp;…",H&M,29/09/2018,18.639,0.0,0.0,-0.0940071892268897,-0.1308546595847416,32056.0,92.743,73.745,-1.0,0.2
Reuters,21/09/2018,49.9725,0.003085697133423443,0.0006603631997598,0.0055090299664815,0.0033058182000101,3027903.0,10.397,13.679,1.0,-0.125,,
53501,"RT @slpng_giants: A reminder after yesterday:

@amazon is still allowing Alex Jones to monetize harassment and inflammatory rhetoric. 

Inc…",Amazon,07/09/2018,1952.07,0.0031966066790637,0.0218998294118551,0.0447934756438037,0.031064459778594,4892643.0,26.915,20.099,1.0,0.0
91453,RT @ObongRoviel: Yahoo boys Stater Pack https://t.co/haB5LDQaJb,,,,,,,,,,,,
26809,"@PrykeCarl @MarieBYates @Ryanair @_SJPeace_ yes, yes we do, they should know better. no excuse",Ryanair,21/10/2018,11.45,0.0,0.0,0.0161572052401747,0.0021834061135371,1782490.0,32.293,48.479,-1.0,0.5
eBay,02/10/2018,32.56,-0.0015356265356266665,0.0141277641277641,0.0141277641277641,0.006142506142506,10174295.0,23.392,17.023,1.0,0.0,,
88487,"RT @thekillakay_: “Due to operating conditions, your package may be delayed. / Delivery will be rescheduled”

Meanwhile at UPS: https://t.c…",UPS,02/10/2018,116.99,0.0040174373878109,-0.0020514573895204,-0.0020514573895204,-0.0062398495597913,1336062.0,10.15,14.195,1.0,-0.125
,Microsoft,19/10/2018,108.66,-0.0014724829744155,0.0188661881096999,0.0215350635008283,0.0083747469169887,32785475.0,44.559,27.373,-1.0,0.0,
84070,I posted a new video to Facebook https://t.co/KHVVy2pOYe,,,,,,,,,,,,
40447,RT @williamsmjw: Myanmar just sentenced two of our @Reuters colleagues to seven years in jail for exposing this massacre. Please share the…,,,,,,,,,,,,
,Facebook,02/10/2018,159.33,0.0195192368041171,0.0321973263038975,0.0321973263038975,0.0350216531726604,36030977.0,27.634,23.831,-1.0,0.0333333333333333,
109872,"RT @RealJamesWoods: Nobody buys this crap anymore. It’s such an obvious ploy, it’s embarrassing. Christine Ford has more credibility than t…",Ford,21/10/2018,8.5,0.0,0.0,0.0011764705882352,0.0164705882352941,59831126.0,26.624,22.107,-1.0,-0.8
94774,RT @zachcowan14: Kroger chocolate milk https://t.co/MN9nEZi84R,,,,,,,,,,,,
,Pepsi,28/04/2017,113.28,-0.0056497175141242,0.0004413841807909,0.0077683615819208,0.0013241525423729,4872033.0,9.749,8.628,-1.0,0.0,
41832,@WoodenN1ckels @LGAdamsWriter @blurbette @AntoineTheFresh @slimray11 @sclancy79 @NFL @Nike You don't see the action… https://t.co/fefex3yWN9,,,,,,,,,,,,
Nike,04/09/2018,79.6,0.03266331658291468,0.0326633165829146,0.0326633165829146,0.0374371859296482,18565837.0,20.517,20.153,-1.0,0.0,,
99719,RT @Camila_Cabello: if i watch a scary movie I’m gonna need to watch every Disney movie ever made to bring me back to myself. on second tho…,,,,,,,,,,,,
,L'Oreal,31/03/2017,191.15,0.0096782631441276,0.0198796756473972,0.0198796756473972,0.0034004708344232,89.0,17.781,16.418,1.0,0.0,
79808,"RT @mike_Zollo: BREAKING:

Sex crimes prosecutor Rachel Mitchell, who questioned Dr. Ford, completely EXONERATES Brett Kavanaugh. 

“This i…",Ford,01/10/2018,9.32,-0.0075107296137339,-0.0075107296137339,-0.0075107296137339,0.028969957081545,44864717.0,24.013,22.415,1.0,0.1
5802,"RT @Burberry: Kris Wu wearing @Burberry tropical gabardine trench coat at #Baselworld2017, Switzerland https://t.co/0ZCVbicc8v",Burberry,01/04/2017,1724.0,0.0,0.0092807424593967,0.0121809744779582,0.0220417633410672,1477621.0,13.972,17.644000000000005,1.0,0.0
9541,Asian factories lose some momentum in May on soft export demand https://t.co/kGlPbF0ewk @Reuters,,,,,,,,,,,,
70075,@JohnLegere @TMobile Except Tennessee has no build out yet of 600 MHz. We are forgotten.,,,,,,,,,,,,
AT&T,29/10/2018,29.64,-0.018556005398110684,-0.0185560053981106,-0.0185560053981106,0.1022267206477733,49270037.0,50.706,31.955,1.0,0.0,,
65649,Thank you wholeheartedly to @Tesco for having @JamieOliver as their new health ambassador. It has meant I’ve switch… https://t.co/ErXR9M8zrK,,,,,,,,,,,,
25806,RT @Reuters: JUST IN: Trump says he thinks it's too early to say what the consequences might be over Saudi journalist Khashoggi; says Congr…,,,,,,,,,,,,
10407,RT @pwilderotter: @ReeveFoundation is proud to partner with @jpmorgan on Code for Good that pairs students with nonprofits https://t.co/lal…,,,,,,,,,,,,
29881,@Deeebluhd @netflix Also the comedic stylings of Mark Ruffalo are https://t.co/bgQbsvwA5L,,,,,,,,,,,,
11482,Check 4 Vintage Sour Cream Glasses Lace Ivy bicentennial 1976 Hazel Atlas Penn Maid #hazelatlas #pennmaid https://t.co/4SIrxaBNg2 via @eBay,,,,,,,,,,,,
4913,"U.S. sanctions North Koreans linked to weapons, financial networks https://t.co/oa3lQJ3d5y via @Reuters",Reuters,31/03/2017,47.6154,0.0053197074895936,0.0046266544017272,0.0099463618913208,0.0120276213157927,988270.0,6.877000000000002,13.263,1.0,0.0
Nike,05/09/2018,79.92,-0.004004004004004097,0.0285285285285285,0.0285285285285285,0.0359109109109109,12269138.0,21.037,19.239,1.0,0.2857142857142857,,
70864,RT @babarbinatta: Such shallow reporting was not expected from the reputed @Reuters &amp; @ReutersPakistan. Fact remains 61 out of 70 presented…,,,,,,,,,,,,
,eBay,01/08/2017,35.91,-0.0050125313283207,0.0008354218880534,0.0008354218880534,0.0114174324700641,4685371.0,19.951,20.842,-1.0,0.0,
94597,RT @_ParkerH: Haunted House idea: A poorly lit Walmart littered with people you haven't seen since High School,,,,,,,,,,,,
64044,Check out Thai Temple Original Watercolor Painting  by Artist Nipon  #Asian https://t.co/JLh4kmjPX1 via @eBay,,,,,,,,,,,,
104122,"Join us on our Facebook page tomorrow from 1pm as we broadcast a live discussion with Shobana, Dr John Oxford &amp;… https://t.co/oiMw7ibszM",Facebook,20/10/2018,154.05,0.0,0.0056475170399219,0.0348588120740017,-0.0020123336579032,19761347.0,35.723,27.856,1.0,0.1363636363636363
eBay,29/10/2018,26.82,0.019388516032811318,0.0193885160328113,0.0193885160328113,0.0622669649515286,18291838.0,51.611,37.935,1.0,0.2,,
,Amazon,31/03/2017,886.54,-0.0115054030275,-0.0137839240192206,-0.0344485302411622,-0.0461682495995668,3957612.0,16.898,11.545,1.0,-0.2,
,AT&T,01/02/2017,42.06,0.0023775558725628,-0.0057061340941512,-0.0011887779362816,-0.0159296243461721,32082528.0,14.7,15.146,-1.0,0.0,
41884,"@sclancy79 @NFL @Nike OR you all could just donate your unwanted Nike clothes (that you’ve already paid for, and th… https://t.co/sKW9xhpWCh",Nike,04/09/2018,79.6,0.0326633165829146,0.0326633165829146,0.0326633165829146,0.0374371859296482,18565837.0,20.517,20.153,-1.0,0.0
,eBay,21/10/2018,28.75,0.0,0.0,0.0973913043478261,0.1033043478260869,39779447.0,58.203,35.868,-1.0,0.0,
62225,"RT @MCU_Tweets: OFFICIAL: @Disney has confirmed that actress @brielarson will be appearing on @GMA this Tuesday for CAPTAIN MARVEL, during…",Disney,15/09/2018,109.26,0.0,0.0129049972542558,0.0018304960644333,0.015650741350906,6012443.0,13.534,12.518,1.0,0.4
30204,RT @Fed_1979_: Ok so if @netflix feels they cant survive a stand alone series how about giving us a Powerman and @MarvelIronFist series!! M…,,,,,,,,,,,,
37748,@seewhatsnext @netflix Bro. Spoilers. 😐😔,,,,,,,,,,,,
68271,"RT @Google: Settling more than just bets since 1998, here are 20 ways to step up your Search game → https://t.co/uTAo3aOPfc https://t.co/OQ…",Google,20/09/2018,1191.57,-0.0145186602549577,-0.020527539296894,-0.0266371258088068,-0.0079139286823265,1462455.0,18.165,17.537,1.0,0.0499999999999999
23805,RT @StacieinAtlanta: Free $100 @BestBuy gift card with pre-order and qualified activation of the new @Google Pixel 3 or Pixel 3 XL for Veri…,,,,,,,,,,,,
93264,I liked a @YouTube video https://t.co/2DDq6PxjRs Next to Normal - Full Show - Egyptian Theatre,,,,,,,,,,,,
113414,"Top story: 9 Niche Social Networks to Use Instead of Facebook | https://t.co/BBRNRDNcI5 https://t.co/hNvHQsHiAy, se… https://t.co/x7iHYmFGsm",Facebook,22/10/2018,154.78,-0.0047163716242407,-0.0047163716242407,-0.0047163716242407,-0.0081405866391006,15424658.0,35.76,27.657,-1.0,0.2666666666666666
91464,RT @DaileKelleher: Anti abortion group Cherish Life has banned me from commenting on their Facebook page because I kept linking to research…,,,,,,,,,,,,
92999,"Look at this Clemson/Carolina crew! @ClemsonTigers coach Danny Ford, Heisman winner @gamecockfb legend George Roger… https://t.co/lcNuEZZMtp",Ford,18/10/2018,8.51,0.0293772032902467,0.0340775558166863,0.0352526439482962,0.0352526439482962,59669220.0,29.59,22.564,1.0,0.0
34017,@DavidCayJ @ATT @ABABankers @ValeroEnergy @NAHBhome Im trying to locate something that shows ATT donating to Steve King. Can u help me?,,,,,,,,,,,,
99226,RT @PharmacyFirst: Happy #FreebieFriday Everyone!😁  Follow &amp; Rwtwt @PharmacyFirst to win Gillette Sensor 3 Manual Disposable Razors 4pk🧔👨 S…,,,,,,,,,,,,
,Boeing,19/10/2018,356.26,0.008673440745523,0.0259361140739909,0.033655195643631,0.0108067141974962,3491612.0,33.085,25.876,1.0,0.35,
35769,"RT @MediaEthicsChk: @LolaTV8 @LeahRemini @MikeRinder @Disney As her own family would tell you, Leah lies: https://t.co/J0XZqwH8HT",Disney,30/10/2018,114.76,-0.0149878006273962,-0.0136807249912862,-0.0136807249912862,0.0269257581038688,7365577.0,37.681,28.022,1.0,0.6
93691,What is $QTUM? @QtumOfficial &amp; Amazon Partnership! Next on @Coinbase? @monero Privacy and Scaling Enhanced!… https://t.co/vd0e5QSbAT,,,,,,,,,,,,
Nike,08/09/2018,80.3,0.0,0.0012453300124534,-0.0047322540473224,0.0236612702366127,6633912.0,21.364,18.219,1.0,-0.6,,
71199,"@DFBetz @keynesmart @Reuters Not really, If someone can refuse to bake gay couples a wedding cake, because it clash… https://t.co/C9klGLFohy",Reuters,22/09/2018,49.9725,0.0,0.0030856971334234,0.0006603631997598,0.0033058182000101,3027903.0,10.397,13.679,-1.0,0.1583333333333333
Nike,04/09/2018,79.6,0.03266331658291468,0.0326633165829146,0.0326633165829146,0.0374371859296482,18565837.0,20.517,20.153,-1.0,0.0958333333333333,,
McDonald's,02/10/2018,165.18,0.00902046252572939,0.0127739435767041,0.0127739435767041,0.0074464220849981,3071198.0,21.075,15.629,-1.0,0.2142857142857142,,
,Facebook,21/10/2018,154.05,0.0,0.0,0.0056475170399219,-0.0020123336579032,19761347.0,35.723,27.856,1.0,0.0,
3554,@PayPal you guys are such a big scam being able to just  freeze people's money crazy to me PayPal Bullshit give me my money you thieves,,,,,,,,,,,,
14747,"@theousherwood Well, he was but then he had an email from @Ryanair",Ryanair,29/09/2017,16.27,0.0067609096496619,0.0522433927473879,0.0116779348494161,0.0110633066994468,3814907.0,37.287,26.254,1.0,0.0
102186,"Oracle OpenWorld next week? See how Oracle and Equinix onboards enterprises to Oracle Cloud, designing network solu… https://t.co/SgD15lxOu2",Oracle,19/10/2018,47.59,-0.0044126917419626,0.0056734608110946,0.0134482034040763,-0.0044126917419626,17768405.0,25.321,19.567,1.0,0.0
51391,RT @Nike: Don’t ask if your dreams are crazy. Ask if they’re crazy enough. #justdoit https://t.co/Wd5L42egV8,,,,,,,,,,,,
Nike,05/09/2018,79.92,-0.004004004004004097,0.0285285285285285,0.0285285285285285,0.0359109109109109,12269138.0,21.037,19.239,1.0,0.0,,
Nike,04/09/2018,79.6,0.03266331658291468,0.0326633165829146,0.0326633165829146,0.0374371859296482,18565837.0,20.517,20.153,-1.0,0.0,,
AT&T,31/10/2018,30.68,-0.006844850065189076,-0.0338983050847457,-0.051825293350717,-0.0104302477183833,44854836.0,54.655,33.396,-1.0,0.0,,
Apple,12/09/2018,221.07,0.012575202424571408,-0.0123942642601889,0.0010403944451984,0.0262360338354367,49278740.0,22.583,17.953,1.0,0.0,,
73598,RT @MichaelJFoxOrg: Michael J. Fox models the first self-lacing @Nike Mag https://t.co/bgPWM5CKBE,,,,,,,,,,,,
,Toyota,18/10/2018,6641.0,-0.0043668122270742,-0.0179189881042011,-0.0287607288059027,-0.0066255082065953,6212000.0,26.708,22.93,1.0,-0.1,
Ryanair,21/10/2018,11.45,0.0,0.0,0.0161572052401747,0.0021834061135371,1782490.0,32.293,48.479,-1.0,-0.25,,
Reuters,17/09/2018,50.1267,0.00021944392908375746,0.0002194439290837,0.0002194439290837,-0.0175794536644143,2828945.0,11.155,16.894000000000002,1.0,0.0,,
72223,RT @runbec1: Where is the outrage for Domestic Violence? @NBC @CBS @CNN @ABC this is outrageous that you don't call him out. you have arres…,,,,,,,,,,,,
21659,"@netflix Yo need those 8 seasons of family guy back, get to it",Netflix,29/12/2017,191.96,0.0039070639716607,-0.0297978745571994,-0.0218795582413003,-0.0105230256303397,5187606.0,24.448,25.15,1.0,0.0
89045,"""Terrifier"" on Netflix.. Horrible acting but DAMN, it's graphic as fuck!",Netflix,02/10/2018,377.14,0.0113750861748953,-0.0079811210690989,-0.0079811210690989,-0.0204433366919445,8638717.0,25.312,38.958,-1.0,-0.375
,Boeing,19/10/2018,356.26,0.008673440745523,0.0259361140739909,0.033655195643631,0.0108067141974962,3491612.0,33.085,25.876,1.0,0.35,
,CBS,01/10/2018,55.76,0.0303084648493544,0.0303084648493544,0.0303084648493544,0.0147058823529411,3609529.0,20.928,20.862,1.0,0.0,
BMW,18/10/2018,74.61,0.010320332395121245,0.0199705133360138,0.0101863021042756,-0.0075056962873609,1217554.0,17.573,24.7,-1.0,0.0,,
10601,Check out Michael Kors Lady's Short Sleeve Casual  Pull Over Blouse Shirt Size L #MichaelKors https://t.co/YhQUzagEnS via @eBay,,,,,,,,,,,,
92479,Facebook stans are really another breed,,,,,,,,,,,,
8559,"@HSBC Abhishek Singh Rajput, Assistant  Manager of HSBC, Pune is proud to support crime against women. And here are… https://t.co/Bn8hO2jVlO",HSBC,31/05/2017,675.6,-0.0005920663114268,-0.0008880994671403,-0.0008880994671403,-0.0122853759621078,46070779.0,13.165,15.326,-1.0,0.8
945,Check out Brand New ✿ 4 Count RealSpace Protective Furniture Sliders 1.25 x 1.25 306-807  https://t.co/duwLfnEA15 via @eBay,,,,,,,,,,,,
33735,"@amazon
@AmazonHelp its been over two weeks, Its almost festive season. need to make purchases online... Amazon I'v… https://t.co/Z4RSDKjuk2",Amazon,28/10/2018,1642.81,0.0,0.0,0.0848302603466013,0.0737882043571685,14963783.0,74.59100000000002,49.036,1.0,0.0
AT&T,28/10/2018,29.09,0.0,0.0,0.0305947060845651,0.1299415606737709,77662526.0,48.289,31.234,1.0,-0.3,,
25144,Check out Bridal Tiara Rhinestone n Simulated Pearl Gorgeous Proms Weddings Pageants  #bridal https://t.co/eiiJQ5IjgL via @eBay,,,,,,,,,,,,
82866,RT @AvenattiFiles: @MichaelAvenatti You are backing Christine Blasey Ford? Didn't your WIFE file papers with the court accusing you of ongo…,,,,,,,,,,,,
CBS,10/09/2018,55.2,0.015579710144927525,0.0155797101449275,0.0155797101449275,-0.0394927536231884,11239794.0,27.267,19.496,1.0,0.25,,
,McDonald's,01/10/2018,166.67,0.0037199256014879,0.0037199256014879,0.0037199256014879,-0.0201595968080637,3126616.0,19.605,15.406,-1.0,0.0,
BMW,19/10/2018,74.53,0.0010733932644572427,0.0114048034348583,0.0210653428149737,0.0022809606869717,3597192.0,17.334,24.662,-1.0,0.0,,
69449,Check out Plush Kawaii Narwhal Cushion #pukator https://t.co/S7YMYeLoC0 via @eBay,,,,,,,,,,,,
Netflix,30/10/2018,285.81,-0.003393863055876377,0.0490535670550364,0.0490535670550364,0.1656695007172598,23685702.0,65.92699999999999,59.646,-1.0,0.0,,
7109,"RT @AngelStallings1: @planetmuzicktv Thandi's Love is available for purchase @amazon @AmazonUK 
Paperback- $14.95
e-book- 2.99
Read Free… ",Amazon,28/04/2017,924.99,-0.0071460232002508,-0.0169731564665564,-0.018778581390069,-0.0286057146563747,7364681.0,8.744,14.935,-1.0,0.45
115730,"RT @BTS_twt: RM - mono.

Soundcloud: https://t.co/lRE59fNSls
Google: https://t.co/OlW5N8xWa7
Mediafire: https://t.co/eatf17DRqR
Dropbox: ht…",Google,22/10/2018,1111.37,-0.0055697022593734,-0.0055697022593734,-0.0055697022593734,-0.0080351278152189,1355842.0,39.089,25.831,1.0,0.0
105151,"Got it...one old fat journalist got into a fist fight with an team of elite professional killers. 👍

Next week the… https://t.co/mpFVmWtvyy",Next,20/10/2018,5092.0,0.0,0.00942655145326,0.016496465043205,0.0593087195600942,472846.0,33.347,35.407,-1.0,0.1
106020,I posted a new video to Facebook https://t.co/8JLnHZwAEt,,,,,,,,,,,,
73149,Check out DISNEY 3D GLITTER PIN STITCH ST PATRICKS DAY 4 LEAF CLOVER GOLD 2010 LTD ED   https://t.co/d47IRLUL9X via @eBay,,,,,,,,,,,,
47095,RT @Reuters: Boeing's KC-46 program completes FAA certification https://t.co/tSi1A3V8N9 https://t.co/61PLZiF9Ec,,,,,,,,,,,,
70211,RT @TarynTeutsch: These photos don’t lie – because of him my mom will never regain full use of her arm. Are you listening @Disney? Are you…,,,,,,,,,,,,
78671,Envato Tuts&amp;plus; Design &amp; Illustration:   How to Create a Rubber Stamp Logo Mockup in Adobe Photoshop… https://t.co/0MEABpuxOF,,,,,,,,,,,,
95888,RT @RyanAFournier: Mexico has dispatched two Boeing 727’s full of federal police officers to intercept the migrant caravan from Honduras he…,,,,,,,,,,,,
Sony,10/09/2018,6245.0,-0.002401921537229784,-0.0024019215372297,-0.0024019215372297,0.0049639711769415,5840000.0,15.752,22.068,1.0,0.0,,
Amazon,10/09/2018,1939.01,0.006735395897906635,0.0067353958979066,0.0067353958979066,0.0380090871114641,4544831.0,26.739,18.955,1.0,0.45,,
59075,RT @TMobile: .@JustinBieber and Jimmy are up to something 👀 The surprises continue tomorrow on #FallonTonight at 11:30 EST on NBC! #AreYouW…,,,,,,,,,,,,
